TIME,2026-06-12T21:07:14,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-10.0000,40.0000
NUM SWEEP STEPS,150,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0010,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+01,2.288029e-07,2.299824e-07
-9.664430e+00,2.169377e-07,2.171457e-07
-9.328859e+00,2.050032e-07,2.055583e-07
-8.993289e+00,1.938319e-07,1.941094e-07
-8.657718e+00,1.829382e-07,1.833544e-07
-8.322148e+00,1.723220e-07,1.725301e-07
-7.986577e+00,1.615670e-07,1.619141e-07
-7.651007e+00,1.519225e-07,1.519224e-07
-7.315436e+00,1.417226e-07,1.415144e-07
-6.979866e+00,1.318697e-07,1.311064e-07
-6.644295e+00,1.218779e-07,1.212535e-07
-6.308725e+00,1.123024e-07,1.116087e-07
-5.973154e+00,1.022414e-07,1.018252e-07
-5.637584e+00,9.218040e-08,9.120893e-08
-5.302013e+00,8.163363e-08,8.038468e-08
-4.966443e+00,6.956043e-08,6.824206e-08
-4.630872e+00,5.658510e-08,5.408718e-08
-4.295302e+00,4.229139e-08,3.826699e-08
-3.959732e+00,2.522227e-08,1.835298e-08
-3.624161e+00,7.112378e-09,-4.544592e-09
-3.288591e+00,-1.307916e-08,-3.014816e-08
-2.953020e+00,-3.458882e-08,-5.922066e-08
-2.617450e+00,-5.873499e-08,-9.224819e-08
-2.281879e+00,-8.399128e-08,-1.273573e-07
-1.946309e+00,-1.112598e-07,-1.645479e-07
-1.610738e+00,-1.394997e-07,-2.034732e-07
-1.275168e+00,-1.719028e-07,-2.489206e-07
-9.395973e-01,-2.075669e-07,-2.978373e-07
-6.040268e-01,-2.465616e-07,-3.511948e-07
-2.684564e-01,-2.870133e-07,-4.062176e-07
6.711409e-02,-3.275343e-07,-4.790724e-07
4.026846e-01,-3.729818e-07,-5.283361e-07
7.382550e-01,-4.107274e-07,-5.707307e-07
1.073826e+00,-4.511101e-07,-6.118066e-07
1.409396e+00,-4.912148e-07,-6.502462e-07
1.744966e+00,-5.327072e-07,-6.888249e-07
2.080537e+00,-5.756570e-07,-7.278184e-07
2.416107e+00,-6.225611e-07,-7.693814e-07
2.751678e+00,-6.783474e-07,-8.214199e-07
3.087248e+00,-7.385736e-07,-8.767893e-07
3.422819e+00,-8.062939e-07,-9.411098e-07
3.758389e+00,-8.753331e-07,-1.004251e-06
4.093960e+00,-9.497144e-07,-1.074261e-06
4.429530e+00,-1.028398e-06,-1.148781e-06
4.765101e+00,-1.109647e-06,-1.226978e-06
5.100671e+00,-1.193395e-06,-1.306216e-06
5.436242e+00,-1.284707e-06,-1.394753e-06
5.771812e+00,-1.378793e-06,-1.487174e-06
6.107383e+00,-1.475239e-06,-1.581330e-06
6.442953e+00,-1.577029e-06,-1.681383e-06
6.778523e+00,-1.677775e-06,-1.779842e-06
7.114094e+00,-1.607419e-06,-1.652033e-06
7.449664e+00,-1.782895e-06,-1.850407e-06
7.785235e+00,-1.929716e-06,-2.010895e-06
8.120805e+00,-2.059535e-06,-2.145851e-06
8.456376e+00,-2.183594e-06,-2.271643e-06
8.791946e+00,-2.305300e-06,-2.393280e-06
9.127517e+00,-2.430122e-06,-2.516782e-06
9.463087e+00,-2.552866e-06,-2.637586e-06
9.798658e+00,-2.674358e-06,-2.758040e-06
1.013423e+01,-2.802375e-06,-2.883696e-06
1.046980e+01,-2.934417e-06,-3.013307e-06
1.080537e+01,-3.069233e-06,-3.146947e-06
1.114094e+01,-3.207658e-06,-3.284189e-06
1.147651e+01,-3.346081e-06,-3.420463e-06
1.181208e+01,-3.490472e-06,-3.563745e-06
1.214765e+01,-3.643536e-06,-3.714654e-06
1.248322e+01,-3.793131e-06,-3.862309e-06
1.281879e+01,-3.949593e-06,-4.017454e-06
1.315436e+01,-4.109037e-06,-4.175858e-06
1.348993e+01,-4.271335e-06,-4.336829e-06
1.382550e+01,-4.435365e-06,-4.499615e-06
1.416107e+01,-4.599946e-06,-4.662185e-06
1.449664e+01,-4.771326e-06,-4.832388e-06
1.483221e+01,-4.943822e-06,-5.003491e-06
1.516779e+01,-5.121650e-06,-5.180703e-06
1.550336e+01,-5.298864e-06,-5.356247e-06
1.583893e+01,-5.480652e-06,-5.534215e-06
1.617450e+01,-5.668478e-06,-5.721978e-06
1.651007e+01,-5.853045e-06,-5.904457e-06
1.684564e+01,-6.042886e-06,-6.093740e-06
1.718121e+01,-6.233075e-06,-6.282824e-06
1.751678e+01,-6.422705e-06,-6.472318e-06
1.785235e+01,-6.613510e-06,-6.662703e-06
1.818792e+01,-6.806539e-06,-6.855878e-06
1.852349e+01,-6.996940e-06,-7.045644e-06
1.885906e+01,-7.199892e-06,-7.242774e-06
1.919463e+01,-7.400277e-06,-7.443718e-06
1.953020e+01,-7.601071e-06,-7.644651e-06
1.986577e+01,-7.799867e-06,-7.843088e-06
2.020134e+01,-7.997673e-06,-8.041469e-06
2.053691e+01,-8.194813e-06,-8.238733e-06
2.087248e+01,-8.394501e-06,-8.434396e-06
2.120805e+01,-8.607652e-06,-8.646234e-06
2.154362e+01,-8.815106e-06,-8.853487e-06
2.187919e+01,-9.030280e-06,-9.066011e-06
2.221477e+01,-9.240798e-06,-9.277363e-06
2.255034e+01,-9.448608e-06,-9.486696e-06
2.288591e+01,-9.658983e-06,-9.695270e-06
2.322148e+01,-9.866581e-06,-9.902316e-06
2.355705e+01,-1.007605e-05,-1.011262e-05
2.389262e+01,-1.028803e-05,-1.032342e-05
2.422819e+01,-1.049763e-05,-1.053282e-05
2.456376e+01,-1.071120e-05,-1.074173e-05
2.489933e+01,-1.093456e-05,-1.096279e-05
2.523490e+01,-1.115222e-05,-1.118414e-05
2.557047e+01,-1.136427e-05,-1.139626e-05
2.590604e+01,-1.157846e-05,-1.161080e-05
2.624161e+01,-1.179244e-05,-1.182290e-05
2.657718e+01,-1.200636e-05,-1.203703e-05
2.691275e+01,-1.222416e-05,-1.225449e-05
2.724832e+01,-1.245029e-05,-1.247139e-05
2.758389e+01,-1.268731e-05,-1.270937e-05
2.791946e+01,-1.291211e-05,-1.293877e-05
2.825503e+01,-1.313048e-05,-1.315718e-05
2.859060e+01,-1.335195e-05,-1.337825e-05
2.892617e+01,-1.357427e-05,-1.359882e-05
2.926174e+01,-1.379748e-05,-1.382218e-05
2.959732e+01,-1.402763e-05,-1.404559e-05
2.993289e+01,-1.428428e-05,-1.429850e-05
3.026846e+01,-1.454343e-05,-1.455917e-05
3.060403e+01,-1.477851e-05,-1.479612e-05
3.093960e+01,-1.501130e-05,-1.503120e-05
3.127517e+01,-1.524292e-05,-1.526172e-05
3.161074e+01,-1.547500e-05,-1.549367e-05
3.194631e+01,-1.570321e-05,-1.572299e-05
3.228188e+01,-1.592838e-05,-1.594780e-05
3.261745e+01,-1.615819e-05,-1.617539e-05
3.295302e+01,-1.639235e-05,-1.641012e-05
3.328859e+01,-1.662001e-05,-1.663562e-05
3.362416e+01,-1.685459e-05,-1.686529e-05
3.395973e+01,-1.710008e-05,-1.711099e-05
3.429530e+01,-1.733972e-05,-1.735258e-05
3.463087e+01,-1.757496e-05,-1.759063e-05
3.496644e+01,-1.780039e-05,-1.781550e-05
3.530201e+01,-1.802617e-05,-1.804385e-05
3.563758e+01,-1.827395e-05,-1.828034e-05
3.597315e+01,-1.851410e-05,-1.852382e-05
3.630872e+01,-1.874626e-05,-1.875859e-05
3.664430e+01,-1.897375e-05,-1.898689e-05
3.697987e+01,-1.920015e-05,-1.921392e-05
3.731544e+01,-1.942082e-05,-1.943550e-05
3.765101e+01,-1.964140e-05,-1.965721e-05
3.798658e+01,-1.985726e-05,-1.987266e-05
3.832215e+01,-2.006999e-05,-2.008740e-05
3.865772e+01,-2.028799e-05,-2.030175e-05
3.899329e+01,-2.054661e-05,-2.054306e-05
3.932886e+01,-2.082567e-05,-2.080742e-05
3.966443e+01,-2.107849e-05,-2.108529e-05
