TIME,2026-06-12T19:01:30,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-2.0000,11.0000
NUM SWEEP STEPS,50,
NUM POWER LINE CYCLES,0.1000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+00,2.287093e-09,-2.358808e-10
-1.734694e+00,-4.687078e-09,-2.832472e-10
-1.469388e+00,6.386075e-09,-3.126528e-10
-1.204082e+00,-8.020776e-09,-3.369768e-10
-9.387755e-01,9.300665e-09,-3.876152e-10
-6.734694e-01,-1.040581e-08,-4.240866e-10
-4.081633e-01,1.074972e-08,-4.424026e-10
-1.428571e-01,-1.075029e-08,-4.834061e-10
1.224490e-01,9.482529e-09,-5.074869e-10
3.877551e-01,-8.233926e-09,-5.477733e-10
6.530612e-01,6.134784e-09,-5.624342e-10
9.183673e-01,-4.881173e-09,-6.032361e-10
1.183673e+00,2.424262e-09,-6.002981e-10
1.448980e+00,-4.388926e-10,-6.133025e-10
1.714286e+00,-2.057231e-09,-6.202989e-10
1.979592e+00,3.825508e-09,-6.345899e-10
2.244898e+00,-6.254060e-09,-6.559695e-10
2.510204e+00,7.661074e-09,-6.562624e-10
2.775510e+00,-9.830623e-09,-6.708537e-10
3.040816e+00,1.014447e-08,-6.706867e-10
3.306122e+00,-1.117319e-08,-6.790339e-10
3.571429e+00,1.023565e-08,-6.854660e-10
3.836735e+00,-1.044902e-08,-7.013240e-10
4.102041e+00,8.148776e-09,-7.054878e-10
4.367347e+00,-7.630439e-09,-7.125044e-10
4.632653e+00,4.468467e-09,-7.084183e-10
4.897959e+00,-3.690062e-09,-7.308834e-10
5.163265e+00,2.466528e-10,-7.236849e-10
5.428571e+00,1.120593e-09,-7.372740e-10
5.693878e+00,-4.533630e-09,-7.276038e-10
5.959184e+00,5.489792e-09,-7.271241e-10
6.224490e+00,-8.395794e-09,-7.461498e-10
6.489796e+00,8.875736e-09,-7.563971e-10
6.755102e+00,-1.078994e-08,-7.589588e-10
7.020408e+00,1.027377e-08,-7.442357e-10
7.285714e+00,-1.107159e-08,-7.519628e-10
7.551020e+00,9.046298e-09,-7.375875e-10
7.816327e+00,-8.927208e-09,-7.634769e-10
8.081633e+00,5.685218e-09,-7.611659e-10
8.346939e+00,-5.046447e-09,-7.509046e-10
8.612245e+00,1.570225e-09,-7.658100e-10
8.877551e+00,2.729824e-11,-7.603028e-10
9.142857e+00,-3.662076e-09,-7.775255e-10
9.408163e+00,4.514119e-09,-7.740176e-10
9.673469e+00,-7.650899e-09,-7.815420e-10
9.938776e+00,8.333867e-09,-7.833317e-10
1.020408e+01,-1.064283e-08,-7.968234e-10
1.046939e+01,1.013714e-08,-7.826152e-10
1.073469e+01,-1.135985e-08,-7.930850e-10
1.100000e+01,9.709580e-09,-7.920054e-10
