TIME,2026-06-09T15:55:40,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
0.000000e+00,4.274513e-09,1.498012e-09
5.161290e-01,4.276626e-09,9.365535e-10
1.032258e+00,4.287427e-09,8.344181e-10
1.548387e+00,4.240819e-09,7.537801e-10
2.064516e+00,4.183084e-09,6.487827e-10
2.580645e+00,4.119634e-09,5.514228e-10
3.096774e+00,4.059908e-09,4.295999e-10
3.612903e+00,3.978379e-09,2.802427e-10
4.129032e+00,3.895769e-09,1.084341e-10
4.645161e+00,3.754160e-09,-8.237205e-11
5.161290e+00,3.499657e-09,-2.524658e-10
5.677419e+00,3.054467e-09,-3.772536e-10
6.193548e+00,2.386285e-09,-4.530451e-10
6.709677e+00,1.573059e-09,-4.797150e-10
7.225806e+00,7.893671e-10,-4.940768e-10
7.741935e+00,2.446575e-10,-5.078958e-10
8.258065e+00,-3.607907e-11,-5.161174e-10
8.774194e+00,-1.277799e-10,-5.259332e-10
9.290323e+00,-1.568831e-10,-5.330966e-10
9.806452e+00,-1.648722e-10,-5.344332e-10
1.032258e+01,-1.793682e-10,-5.393549e-10
1.083871e+01,-1.793334e-10,-5.466161e-10
1.135484e+01,-1.830358e-10,-5.498387e-10
1.187097e+01,-1.887284e-10,-5.528046e-10
1.238710e+01,-1.906422e-10,-5.606853e-10
1.290323e+01,-1.938223e-10,-5.540230e-10
1.341935e+01,-1.916231e-10,-5.641095e-10
1.393548e+01,-1.986799e-10,-5.736758e-10
1.445161e+01,-1.912475e-10,-5.630937e-10
1.496774e+01,-1.935997e-10,-5.864429e-10
1.548387e+01,-1.937388e-10,-5.636855e-10
1.600000e+01,-1.902872e-10,-5.864849e-10
