TIME,2026-06-09T22:44:17,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),5553.16670763367,21.857534911115962
BEAM ENERGY (eV),6.386123997951343,0.0502721908348461
BEAM DENSITY - FIT (m^-3),20548978796.31889,1344887766.9678297
BEAM DENSITY - SATURATION (m^-3),20889694819.310696,1759339688.734983
BEAM TEMPERATURE (eV),0.15358281675111907,0.015254242086018211
THERMAL SPEED (m/s),608.945400139385,30.241015067285264
AFLVEN SPEED (m/s),966299.5564328736,31621.144426549643
PLASMA FREQUENCY (rad/s),29962.842104447845,980.502734692568
DEBYE LENGTH (m),0.020323352438218464,0.0012087015833278604
