TIME,2026-06-09T22:44:59,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),5500.161050296187,23.37057186790928
BEAM ENERGY (eV),6.264793159986229,0.053239095162553575
BEAM DENSITY - FIT (m^-3),39826295670.687805,2823886597.0310125
BEAM DENSITY - SATURATION (m^-3),41184737854.4959,2300157747.604025
BEAM TEMPERATURE (eV),0.14963890375925332,0.01610128243104809
THERMAL SPEED (m/s),601.0758773365075,32.33815612234013
AFLVEN SPEED (m/s),694099.8417357833,24607.60167460956
PLASMA FREQUENCY (rad/s),41713.13591225034,1478.8365756726982
DEBYE LENGTH (m),0.014409750410541133,0.000928436618322438
