TIME,,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,1.175258e-08,4.006818e-09
5.161290e-01,1.177387e-08,3.907993e-09
1.032258e+00,1.177065e-08,3.811386e-09
1.548387e+00,1.170205e-08,3.697049e-09
2.064516e+00,1.160057e-08,3.583812e-09
2.580645e+00,1.146740e-08,3.446869e-09
3.096774e+00,1.130894e-08,3.299579e-09
3.612903e+00,1.111177e-08,3.116152e-09
4.129032e+00,1.081621e-08,2.916722e-09
4.645161e+00,1.044616e-08,2.663869e-09
5.161290e+00,9.909138e-09,2.377737e-09
5.677419e+00,9.217985e-09,2.063439e-09
6.193548e+00,8.311257e-09,1.764212e-09
6.709677e+00,7.285894e-09,1.525213e-09
7.225806e+00,6.437254e-09,1.351156e-09
7.741935e+00,5.946365e-09,1.194340e-09
8.258065e+00,5.673570e-09,1.011539e-09
8.774194e+00,5.455937e-09,8.184098e-10
9.290323e+00,5.231159e-09,6.280850e-10
9.806452e+00,4.944795e-09,4.117171e-10
1.032258e+01,4.619724e-09,1.878998e-10
1.083871e+01,4.199728e-09,4.892207e-12
1.135484e+01,3.671009e-09,-1.855133e-10
1.187097e+01,3.053787e-09,-3.364193e-10
1.238710e+01,2.350558e-09,-4.405015e-10
1.290323e+01,1.623027e-09,-4.952750e-10
1.341935e+01,9.730907e-10,-5.290863e-10
1.393548e+01,4.366186e-10,-5.476890e-10
1.445161e+01,7.503849e-11,-5.527918e-10
1.496774e+01,-6.810460e-11,-5.688236e-10
1.548387e+01,-1.236801e-10,-5.799694e-10
1.600000e+01,-1.531101e-10,-5.854199e-10
