SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,2.694364e-08,8.652123e-09
5.161290e-01,2.762316e-08,8.430207e-09
1.032258e+00,2.823313e-08,7.976786e-09
1.548387e+00,2.873631e-08,7.332610e-09
2.064516e+00,2.875380e-08,6.744996e-09
2.580645e+00,2.792248e-08,6.536296e-09
3.096774e+00,2.528674e-08,6.323868e-09
3.612903e+00,2.210405e-08,6.191238e-09
4.129032e+00,2.149365e-08,6.030963e-09
4.645161e+00,2.145759e-08,5.781825e-09
5.161290e+00,2.142036e-08,5.473200e-09
5.677419e+00,2.141662e-08,5.092897e-09
6.193548e+00,2.141669e-08,4.598105e-09
6.709677e+00,2.136896e-08,3.964799e-09
7.225806e+00,2.124553e-08,3.203992e-09
7.741935e+00,2.091966e-08,2.313227e-09
8.258065e+00,2.012716e-08,1.410363e-09
8.774194e+00,1.855839e-08,5.427155e-10
9.290323e+00,1.601824e-08,-1.031028e-10
9.806452e+00,1.254648e-08,-4.774270e-10
1.032258e+01,8.574921e-09,-6.423743e-10
1.083871e+01,4.877491e-09,-7.267555e-10
1.135484e+01,2.120170e-09,-7.823581e-10
1.187097e+01,6.862121e-10,-8.136084e-10
1.238710e+01,2.655406e-10,-8.448240e-10
1.290323e+01,1.187913e-10,-8.803838e-10
1.341935e+01,1.590890e-12,-8.970495e-10
1.393548e+01,-1.065747e-10,-9.263439e-10
1.445161e+01,-1.953034e-10,-9.385266e-10
1.496774e+01,-2.759317e-10,-9.605932e-10
1.548387e+01,-3.422309e-10,-9.729789e-10
1.600000e+01,-3.951762e-10,-9.831563e-10
