SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,3.816308e-09,1.372267e-09
5.161290e-01,3.823709e-09,7.580289e-10
1.032258e+00,3.779111e-09,5.761749e-10
1.548387e+00,3.667853e-09,4.905531e-10
2.064516e+00,3.567712e-09,4.054120e-10
2.580645e+00,3.495088e-09,3.111640e-10
3.096774e+00,3.400459e-09,1.986218e-10
3.612903e+00,3.325620e-09,4.490796e-11
4.129032e+00,3.226730e-09,-1.122158e-10
4.645161e+00,3.082979e-09,-2.945889e-10
5.161290e+00,2.802744e-09,-4.577341e-10
5.677419e+00,2.332793e-09,-5.636969e-10
6.193548e+00,1.639394e-09,-6.051316e-10
6.709677e+00,8.687752e-10,-6.286266e-10
7.225806e+00,2.520960e-10,-6.429473e-10
7.741935e+00,-5.645523e-11,-6.604273e-10
8.258065e+00,-1.525399e-10,-6.681963e-10
8.774194e+00,-1.916016e-10,-6.681549e-10
9.290323e+00,-2.187421e-10,-6.812844e-10
9.806452e+00,-2.420900e-10,-6.858583e-10
1.032258e+01,-2.534127e-10,-7.035272e-10
1.083871e+01,-2.636147e-10,-7.131886e-10
1.135484e+01,-2.777696e-10,-7.129032e-10
1.187097e+01,-2.822722e-10,-7.158905e-10
1.238710e+01,-2.869834e-10,-7.332383e-10
1.290323e+01,-2.945478e-10,-7.337606e-10
1.341935e+01,-2.944157e-10,-7.471406e-10
1.393548e+01,-2.963504e-10,-7.565735e-10
1.445161e+01,-3.065943e-10,-7.456301e-10
1.496774e+01,-3.091135e-10,-7.592674e-10
1.548387e+01,-3.116326e-10,-7.547560e-10
1.600000e+01,-3.138944e-10,-7.622054e-10
