TIME,2026-06-09T18:22:49,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),5398.830866219274,26.666296733284653
BEAM ENERGY (eV),6.03608530205164,0.05962774006463559
BEAM DENSITY - FIT (m^-3),26744062920.09315,1915635894.1785946
BEAM DENSITY - SATURATION (m^-3),27616917132.66721,1301404426.3048794
BEAM TEMPERATURE (eV),0.18805149990605868,0.020463464727449726
THERMAL SPEED (m/s),673.822394853146,36.66213993648345
AFLVEN SPEED (m/s),847019.1114725068,30335.33494592793
PLASMA FREQUENCY (rad/s),34182.32321188417,1224.21349154662
DEBYE LENGTH (m),0.01971259796112624,0.0012840484779673448
