TIME,2026-06-09T15:34:37,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
0.000000e+00,6.273708e-09,1.484449e-09
5.161290e-01,6.315081e-09,1.289973e-09
1.032258e+00,6.335600e-09,1.138736e-09
1.548387e+00,6.288795e-09,1.006247e-09
2.064516e+00,6.195426e-09,8.485770e-10
2.580645e+00,6.110627e-09,6.691943e-10
3.096774e+00,5.990447e-09,4.663990e-10
3.612903e+00,5.869421e-09,2.090936e-10
4.129032e+00,5.692533e-09,-7.770776e-11
4.645161e+00,5.363284e-09,-3.502141e-10
5.161290e+00,4.802185e-09,-5.617786e-10
5.677419e+00,3.894922e-09,-6.635365e-10
6.193548e+00,2.627786e-09,-7.201068e-10
6.709677e+00,1.341801e-09,-7.430873e-10
7.225806e+00,4.038230e-10,-7.660608e-10
7.741935e+00,-5.330993e-11,-7.802758e-10
8.258065e+00,-1.826250e-10,-7.820794e-10
8.774194e+00,-2.260295e-10,-7.992466e-10
9.290323e+00,-2.673667e-10,-8.039032e-10
9.806452e+00,-2.794618e-10,-8.080532e-10
1.032258e+01,-2.995111e-10,-8.015232e-10
1.083871e+01,-3.110354e-10,-8.190381e-10
1.135484e+01,-3.127612e-10,-8.267798e-10
1.187097e+01,-3.242579e-10,-8.305664e-10
1.238710e+01,-3.195604e-10,-8.391431e-10
1.290323e+01,-3.295537e-10,-8.471909e-10
1.341935e+01,-3.233950e-10,-8.448658e-10
1.393548e+01,-3.305421e-10,-8.543467e-10
1.445161e+01,-3.312101e-10,-8.593241e-10
1.496774e+01,-3.351977e-10,-8.688412e-10
1.548387e+01,-3.341749e-10,-8.691895e-10
1.600000e+01,-3.302358e-10,-8.763313e-10
