TIME,2026-06-10T15:43:22,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),5648.151188726976,25.446542629705277
BEAM ENERGY (eV),6.606456061315732,0.05952796239982941
BEAM DENSITY - FIT (m^-3),26108340709.749454,1866984715.3228972
BEAM DENSITY - SATURATION (m^-3),26757274601.141705,1684017560.9596908
BEAM TEMPERATURE (eV),0.17355719054740432,0.01884087123076657
THERMAL SPEED (m/s),647.3338921016202,35.136356108122
AFLVEN SPEED (m/s),857269.2903340361,30651.29032446872
PLASMA FREQUENCY (rad/s),33773.612750918175,1207.5608229605457
DEBYE LENGTH (m),0.01916685362847425,0.0012457793947835642
