SOURCE,BIGGIE,USB0::0x05E6::0x2450::04475936::INSTR
METER,TUPAC,USB0::0x05E6::0x2450::04473229::INSTR
SWEEP VOLTAGE RANGE (V),-2.0000e+00,1.8000e+01
NUM SWEEP STEPS,40,
NUM POWER LINE CYCLES,1.0000e+00,
VRANGE,2.0000e+01,
IRANGE,1.0000e-07,

Voltage (V),Meter current (A),Source current (A)
-2.000000e+00,4.984267e-08,2.055509e-08
-1.487179e+00,4.990991e-08,1.970419e-08
-9.743590e-01,5.004997e-08,1.917618e-08
-4.615385e-01,5.019365e-08,1.859710e-08
5.128205e-02,5.036454e-08,1.750305e-08
5.641026e-01,5.050364e-08,1.586755e-08
1.076923e+00,5.058437e-08,1.510046e-08
1.589744e+00,5.052192e-08,1.468864e-08
2.102564e+00,5.038536e-08,1.427860e-08
2.615385e+00,5.026086e-08,1.381811e-08
3.128205e+00,5.017690e-08,1.331405e-08
3.641026e+00,5.010272e-08,1.273063e-08
4.153846e+00,5.008115e-08,1.203091e-08
4.666667e+00,5.011230e-08,1.123187e-08
5.179487e+00,5.019943e-08,1.027041e-08
5.692308e+00,5.033222e-08,9.070329e-09
6.205128e+00,5.052806e-08,7.592776e-09
6.717949e+00,5.062481e-08,5.751284e-09
7.230769e+00,5.030108e-08,3.641152e-09
7.743590e+00,4.899447e-08,1.524497e-09
8.256410e+00,4.615675e-08,-1.531727e-11
8.769231e+00,4.100457e-08,-8.249133e-10
9.282051e+00,3.341342e-08,-1.184543e-09
9.794872e+00,2.372365e-08,-1.363782e-09
1.030769e+01,1.334193e-08,-1.474499e-09
1.082051e+01,5.109221e-09,-1.528249e-09
1.133333e+01,1.096557e-09,-1.573881e-09
1.184615e+01,9.955549e-11,-1.602738e-09
1.235897e+01,-1.194763e-10,-1.633764e-09
1.287179e+01,-2.782615e-10,-1.662175e-09
1.338462e+01,-4.089807e-10,-1.681640e-09
1.389744e+01,-5.183630e-10,-1.700044e-09
1.441026e+01,-6.177878e-10,-1.722150e-09
1.492308e+01,-6.936420e-10,-1.736963e-09
1.543590e+01,-7.576304e-10,-1.762505e-09
1.594872e+01,-8.152238e-10,-1.776454e-09
1.646154e+01,-8.563177e-10,-1.784577e-09
1.697436e+01,-8.911478e-10,-1.805853e-09
1.748718e+01,-9.243424e-10,-1.817415e-09
1.800000e+01,-9.499036e-10,-1.825421e-09
